Index,Url
95,http://cybermetrics.wlv.ac.uk/database/banned_nz_2003.txt
75,http://cybermetrics.wlv.ac.uk/AoIRASIST/thelwall.html
202,http://cybermetrics.wlv.ac.uk/audit/books/stlds6.htm
77,http://cybermetrics.wlv.ac.uk/AoIRASIST/shaw.html
21,http://linkanalysis.wlv.ac.uk/10.htm
5,http://socscibot.wlv.ac.uk/socscibot4help/tutorial1.htm
208,http://cybermetrics.wlv.ac.uk/audit/books/sites10.htm
198,http://cybermetrics.wlv.ac.uk/audit/books/tlds7.htm
87,http://socscibot.wlv.ac.uk/socscibot4help/reports.htm
63,http://linkanalysis.wlv.ac.uk/23.htm
254,http://cybermetrics.wlv.ac.uk/database/stats/data/cn_2002_uni_document_counts_from_to.txt
259,http://cybermetrics.wlv.ac.uk/audit/books/sites3.htm
223,http://cybermetrics.wlv.ac.uk/database/stats/data/tw_2002_directory_document_counts_from_to.txt
248,http://cybermetrics.wlv.ac.uk/database/stats/data/es_2002_file_document_counts_from_to.txt
129,http://cybermetrics.wlv.ac.uk/audit/101/tlds3.htm
180,http://cybermetrics.wlv.ac.uk/audit/books/stlds1.htm
153,http://cybermetrics.wlv.ac.uk/audit/101/domains5.htm
215,http://cybermetrics.wlv.ac.uk/audit/books/urls10.htm
292,http://cybermetrics.wlv.ac.uk/audit/101/urls10.htm
261,http://cybermetrics.wlv.ac.uk/audit/books/tlds2.htm
184,http://cybermetrics.wlv.ac.uk/audit/books/sites1.htm
187,http://cybermetrics.wlv.ac.uk/audit/books/sites5.htm
85,http://cybermetrics.wlv.ac.uk/AoIRASIST/bjorneborn.html
123,http://cybermetrics.wlv.ac.uk/audit/101/domains1.htm
115,http://socscibot.wlv.ac.uk/help/tutorial1.htm
13,http://linkanalysis.wlv.ac.uk/13.htm
138,http://cybermetrics.wlv.ac.uk/audit/101/tlds7.htm
264,http://cybermetrics.wlv.ac.uk/audit/books/urls3.htm
74,http://cybermetrics.wlv.ac.uk/AoIRASIST/uberti.html
108,http://cybermetrics.wlv.ac.uk/audit/books/index.html
70,http://linkanalysis.wlv.ac.uk/20.htm
168,http://cybermetrics.wlv.ac.uk/database/stats/data/au_2001.txt
88,http://cybermetrics.wlv.ac.uk/audit/Web_impact_audit_application.htm
22,http://cybermetrics.wlv.ac.uk/AoIRASIST
99,http://cybermetrics.wlv.ac.uk/audit/101/index.html
262,http://cybermetrics.wlv.ac.uk/audit/books/sites2.htm
147,http://cybermetrics.wlv.ac.uk/audit/101/domains6.htm
156,http://cybermetrics.wlv.ac.uk/audit/101/urls5.htm
55,http://cybermetrics.wlv.ac.uk/cybermetricsmap.html
